store_id,product_id,initial_stock,current_stock
S001,P001,45,0
S001,P002,36,0
S001,P003,33,0
S001,P004,55,3
S001,P005,48,0
S001,P006,35,0
S001,P007,81,0
S001,P008,85,0
S001,P009,93,0
S001,P010,45,0
S001,P011,42,0
S001,P012,42,0
S001,P013,64,0
S001,P014,58,0
S001,P015,97,0
S001,P016,57,0
S001,P017,41,0
S001,P018,47,0
S001,P019,59,0
S001,P020,45,0
S001,P021,85,0
S001,P022,89,0
S001,P023,34,0
S001,P024,58,0
S001,P025,150,0
S001,P026,92,0
S001,P027,33,0
S001,P028,71,0
S001,P029,149,0
S001,P030,83,0
S002,P001,25,5
S002,P002,35,0
S002,P003,89,0
S002,P004,78,0
S002,P005,32,0
S002,P006,30,0
S002,P007,56,0
S002,P008,61,0
S002,P009,141,0
S002,P010,43,0
S002,P011,85,1
S002,P012,55,0
S002,P013,87,1
S002,P014,33,0
S002,P015,101,0
S002,P016,54,0
S002,P017,30,0
S002,P018,54,0
S002,P019,46,0
S002,P020,89,0
S002,P021,80,10
S002,P022,80,0
S002,P023,59,0
S002,P024,48,0
S002,P025,134,0
S002,P026,142,0
S002,P027,39,0
S002,P028,42,0
S002,P029,117,0
S002,P030,43,0
S003,P001,26,0
S003,P002,67,0
S003,P003,77,0
S003,P004,64,0
S003,P005,26,4
S003,P006,48,0
S003,P007,50,0
S003,P008,33,0
S003,P009,86,0
S003,P010,67,0
S003,P011,60,0
S003,P012,62,0
S003,P013,88,0
S003,P014,84,0
S003,P015,147,0
S003,P016,40,0
S003,P017,33,0
S003,P018,62,0
S003,P019,35,0
S003,P020,84,0
S003,P021,41,0
S003,P022,34,0
S003,P023,68,0
S003,P024,34,0
S003,P025,110,0
S003,P026,131,0
S003,P027,37,0
S003,P028,90,0
S003,P029,111,0
S003,P030,67,0
S004,P001,44,0
S004,P002,32,0
S004,P003,69,0
S004,P004,35,0
S004,P005,38,0
S004,P006,46,0
S004,P007,67,0
S004,P008,66,0
S004,P009,146,0
S004,P010,50,0
S004,P011,89,0
S004,P012,46,0
S004,P013,43,0
S004,P014,72,0
S004,P015,120,0
S004,P016,45,0
S004,P017,46,0
S004,P018,55,0
S004,P019,38,180
S004,P020,72,0
S004,P021,71,13
S004,P022,49,0
S004,P023,59,0
S004,P024,50,0
S004,P025,89,0
S004,P026,81,0
S004,P027,59,0
S004,P028,69,0
S004,P029,92,0
S004,P030,34,0
S005,P001,42,0
S005,P002,43,0
S005,P003,62,0
S005,P004,46,0
S005,P005,29,0
S005,P006,36,0
S005,P007,86,8
S005,P008,34,0
S005,P009,111,0
S005,P010,53,0
S005,P011,48,0
S005,P012,40,0
S005,P013,58,0
S005,P014,83,19
S005,P015,149,0
S005,P016,75,11
S005,P017,49,0
S005,P018,69,6
S005,P019,81,13
S005,P020,71,0
S005,P021,63,160
S005,P022,30,0
S005,P023,72,0
S005,P024,82,1
S005,P025,150,0
S005,P026,118,0
S005,P027,89,22
S005,P028,72,2
S005,P029,93,0
S005,P030,90,31
