date,store_id,product_id,quantity,revenue
2026-08-01,S001,P001,5,275000
2026-08-01,S001,P002,11,13200
2026-08-01,S001,P003,5,9000
2026-08-01,S001,P004,8,20000
2026-08-01,S001,P005,4,112000
2026-08-01,S001,P006,2,44000
2026-08-01,S001,P007,6,39000
2026-08-01,S001,P008,2,7000
2026-08-01,S001,P009,21,10500
2026-08-01,S001,P010,11,19800
2026-08-01,S001,P011,1,2200
2026-08-01,S001,P012,4,14000
2026-08-01,S001,P013,4,16800
2026-08-01,S001,P014,3,9600
2026-08-01,S001,P015,14,12600
2026-08-01,S001,P016,2,3600
2026-08-01,S001,P017,4,14000
2026-08-01,S001,P018,5,3000
2026-08-01,S001,P019,7,31500
2026-08-01,S001,P020,1,2200
2026-08-01,S001,P021,5,27500
2026-08-01,S001,P022,3,19500
2026-08-01,S001,P023,14,11200
2026-08-01,S001,P024,8,5600
2026-08-01,S001,P025,14,3500
2026-08-01,S001,P026,21,3780
2026-08-01,S001,P027,4,1800
2026-08-01,S001,P028,6,3300
2026-08-01,S001,P029,18,2160
2026-08-01,S001,P030,3,450
2026-08-01,S002,P001,2,110000
2026-08-01,S002,P002,11,13200
2026-08-01,S002,P003,3,5400
2026-08-01,S002,P004,4,10000
2026-08-01,S002,P005,3,84000
2026-08-01,S002,P006,3,66000
2026-08-01,S002,P007,6,39000
2026-08-01,S002,P008,1,3500
2026-08-01,S002,P009,13,6500
2026-08-01,S002,P010,7,12600
2026-08-01,S002,P011,2,4400
2026-08-01,S002,P012,2,7000
2026-08-01,S002,P013,4,16800
2026-08-01,S002,P014,4,12800
2026-08-01,S002,P015,11,9900
2026-08-01,S002,P016,3,5400
2026-08-01,S002,P017,2,7000
2026-08-01,S002,P018,6,3600
2026-08-01,S002,P019,7,31500
2026-08-01,S002,P020,2,4400
2026-08-01,S002,P021,4,22000
2026-08-01,S002,P022,5,32500
2026-08-01,S002,P023,15,12000
2026-08-01,S002,P024,2,1400
2026-08-01,S002,P025,13,3250
2026-08-01,S002,P026,14,2520
2026-08-01,S002,P027,0,0
2026-08-01,S002,P028,1,550
2026-08-01,S002,P029,14,1680
2026-08-01,S002,P030,4,600
2026-08-01,S003,P001,1,55000
2026-08-01,S003,P002,10,12000
2026-08-01,S003,P003,7,12600
2026-08-01,S003,P004,11,27500
2026-08-01,S003,P005,1,28000
2026-08-01,S003,P006,3,66000
2026-08-01,S003,P007,3,19500
2026-08-01,S003,P008,4,14000
2026-08-01,S003,P009,12,6000
2026-08-01,S003,P010,6,10800
2026-08-01,S003,P011,8,17600
2026-08-01,S003,P012,3,10500
2026-08-01,S003,P013,1,4200
2026-08-01,S003,P014,2,6400
2026-08-01,S003,P015,9,8100
2026-08-01,S003,P016,2,3600
2026-08-01,S003,P017,6,21000
2026-08-01,S003,P018,6,3600
2026-08-01,S003,P019,6,27000
2026-08-01,S003,P020,6,13200
2026-08-01,S003,P021,5,27500
2026-08-01,S003,P022,5,32500
2026-08-01,S003,P023,9,7200
2026-08-01,S003,P024,3,2100
2026-08-01,S003,P025,10,2500
